light,ax,ay,az,gx,gy,gz,label
2015,0.1123,-0.0251,0.9979,-0.9155,-1.2207,-9.3994,brightshaky
2038,0.062,-0.0072,1.002,0.5493,3.6011,6.958,brightshaky
2025,0.1152,-0.0011,1.0033,0.061,-2.5024,1.4648,brightshaky
2035,0.0824,-0.0056,1.0079,-0.1831,0.061,0.8545,brightshaky
2040,0.0815,-0.011,1.0037,-0.3662,1.0986,-0.2441,brightshaky
2046,0.0764,-0.0005,1.0018,0.6104,1.6479,5.7983,brightshaky
2018,0.0934,-0.0363,1.017,-1.6479,-0.6104,-15.9302,brightshaky
2035,0.083,0.0099,0.9949,2.6855,1.1597,34.9731,brightshaky
2017,0.0703,-0.0181,1.0129,-3.54,-5.127,-32.8369,brightshaky
2032,0.1467,-0.024,1.0267,0.4272,-4.0894,15.564,brightshaky
2024,0.0807,-0.01,1.0205,-0.7324,3.1128,-1.709,brightshaky
2028,0.0809,-0.01,1.0123,-0.2441,-1.5259,1.8311,brightshaky
2034,0.0875,-0.0098,0.9963,-0.1831,-0.5493,-0.061,brightshaky
2039,0.0784,-0.0079,1.0096,-0.1221,0.5493,1.8311,brightshaky
2033,0.0861,-0.0099,1.0035,-0.2441,-1.0986,-0.2441,brightshaky
2021,0.0886,-0.009,1.0032,-0.4272,3.7231,-0.2441,brightshaky
2021,0.0942,-0.011,0.994,0,-2.8076,0.1831,brightshaky
2036,0.0811,-0.0054,1.0061,0,0.9155,1.9531,brightshaky
2035,0.0852,-0.0104,1.0044,-0.2441,0.4883,-0.1831,brightshaky
2037,0.0864,-0.0107,1.0031,-0.2441,-0.6104,-0.1831,brightshaky
2034,0.087,-0.0089,1.0018,-0.1831,-0.4272,-0.1831,brightshaky
2016,0.0914,-0.0094,0.9988,-0.4272,4.5776,-0.061,brightshaky
2015,0.0917,-0.0085,1.005,-0.1221,0.3662,0.3052,brightshaky
2016,0.0903,-0.009,1.0038,-0.1831,0.3662,-0.061,brightshaky
2019,0.0903,-0.0094,1.0028,-0.3052,0,-0.1831,brightshaky
2019,0.0885,-0.0094,1.0042,-0.3052,0.9155,-0.2441,brightshaky
2018,0.0872,-0.009,1.0063,-0.2441,0.7324,-0.1831,brightshaky
2020,0.087,-0.0095,1.005,-0.3052,0,-0.3052,brightshaky
2020,0.0907,-0.0093,1.0005,-0.3662,1.3428,-0.3662,brightshaky
2013,0.0902,-0.0101,1.0033,-0.3052,1.3428,-0.2441,brightshaky
2012,0.0896,-0.0096,1.004,-0.3052,0.1831,-0.1831,brightshaky
2011,0.0903,-0.0094,1.0027,-0.3052,0.1221,-0.1831,brightshaky
2011,0.0891,-0.0099,1.0039,-0.2441,0.1831,-0.1221,brightshaky
2010,0.0886,-0.01,1.0043,-0.2441,0.2441,-0.1831,brightshaky
2009,0.0883,-0.0103,1.006,-0.2441,0.3052,-0.1221,brightshaky
2008,0.089,-0.0095,1.0034,-0.2441,0.061,-0.2441,brightshaky
2007,0.0896,-0.0084,1.0042,-0.2441,0.1831,-0.1831,brightshaky
2006,0.0887,-0.0092,1.0046,-0.2441,0.1831,-0.1831,brightshaky
